Epoch, Total Squared Error
1543,0.101122
1544,0.101119
1545,0.101117
1546,0.101114
1547,0.101111
1548,0.101109
1549,0.101106
1550,0.101103
1551,0.1011
1552,0.101098
1553,0.101095
1554,0.101092
1555,0.10109
1556,0.101087
1557,0.101084
1558,0.101082
1559,0.101079
1560,0.101076
1561,0.101074
1562,0.101071
1563,0.101068
1564,0.101066
1565,0.101063
1566,0.10106
1567,0.101058
1568,0.101055
1569,0.101052
1570,0.10105
1571,0.101047
1572,0.101044
1573,0.101042
1574,0.101039
1575,0.101036
1576,0.101034
1577,0.101031
1578,0.101028
1579,0.101026
1580,0.101023
1581,0.10102
1582,0.101018
1583,0.101015
1584,0.101012
1585,0.10101
1586,0.101007
1587,0.101004
1588,0.101002
1589,0.100999
1590,0.100997
1591,0.100994
1592,0.100991
1593,0.100989
1594,0.100986
1595,0.100983
1596,0.100981
1597,0.100978
1598,0.100976
1599,0.100973
1600,0.10097
1601,0.100968
1602,0.100965
1603,0.100962
1604,0.10096
1605,0.100957
1606,0.100955
1607,0.100952
1608,0.100949
1609,0.100947
1610,0.100944
1611,0.100942
1612,0.100939
1613,0.100936
1614,0.100934
1615,0.100931
1616,0.100929
1617,0.100926
1618,0.100923
1619,0.100921
1620,0.100918
1621,0.100916
1622,0.100913
1623,0.10091
1624,0.100908
1625,0.100905
1626,0.100903
1627,0.1009
1628,0.100897
1629,0.100895
1630,0.100892
1631,0.10089
1632,0.100887
1633,0.100885
1634,0.100882
1635,0.100879
1636,0.100877
1637,0.100874
1638,0.100872
1639,0.100869
1640,0.100867
1641,0.100864
1642,0.100861
1643,0.100859
1644,0.100856
1645,0.100854
1646,0.100851
1647,0.100849
1648,0.100846
1649,0.100843
1650,0.100841
1651,0.100838
1652,0.100836
1653,0.100833
1654,0.100831
1655,0.100828
1656,0.100826
1657,0.100823
1658,0.100821
1659,0.100818
1660,0.100815
1661,0.100813
1662,0.10081
1663,0.100808
1664,0.100805
1665,0.100803
1666,0.1008
1667,0.100798
1668,0.100795
1669,0.100793
1670,0.10079
1671,0.100788
1672,0.100785
1673,0.100783
1674,0.10078
1675,0.100778
1676,0.100775
1677,0.100772
1678,0.10077
1679,0.100767
1680,0.100765
1681,0.100762
1682,0.10076
1683,0.100757
1684,0.100755
1685,0.100752
1686,0.10075
1687,0.100747
1688,0.100745
1689,0.100742
1690,0.10074
1691,0.100737
1692,0.100735
1693,0.100732
